CNS_INTERNAL,CNS_EXTERNAL,UML_INTERNAL,UML_EXTERNAL,MC_INTERNAL,MC_EXTERNAL,STM_INTERNAL,STM_EXTERNAL,HBD_INTERNAL,HBD_EXTERNAL,ATTENDANCE,PASS/FAIL
27,30,23,33,24,40,21,45,18,40,71,PASS
10,17,11,44,12,37,9,40,11,40,24,FAIL
12,43,11,40,14,41,11,42,10,54,32,FAIL
19,40,19,43,19,34,21,42,15,33,70,PASS
21,34,22,34,16,30,19,39,18,27,79,PASS
22,29,21,44,22,35,23,35,16,44,70,PASS
21,24,20,32,17,26,19,36,13,41,82,PASS
10,26,11,35,11,26,12,24,9,18,19,FAIL
9,4,3,0,13,31,15,33,11,15,24,FAIL
25,24,16,38,15,29,19,27,17,40,65,PASS
24,29,24,40,22,30,19,25,13,42,48,PASS
19,49,22,42,24,33,20,39,17,38,89,PASS
11,11,12,19,9,24,12,26,10,28,29,FAIL
10,15,12,29,14,13,12,28,9,25,26,FAIL
16,29,20,30,20,27,18,35,16,38,81,PASS
20,50,13,53,15,40,18,44,18,42,90,PASS
25,40,19,44,18,40,19,47,20,42,90,PASS
5,0,8,0,12,10,9,12,11,36,18,FAIL
8,15,11,31,13,29,12,27,10,26,30,FAIL
10,15,12,25,8,10,12,25,11,25,36,FAIL
8,11,12,24,8,24,12,24,9,26,29,FAIL
6,11,11,30,3,15,10,25,7,37,25,FAIL
11,26,13,12,9,34,13,48,11,31,24,FAIL
3,10,4,12,8,32,12,28,9,28,36,FAIL
3,2,9,28,4,2,15,42,9,29,24,FAIL
9,18,5,11,9,17,11,40,7,14,33,FAIL
10,17,9,37,7,24,12,38,9,34,25,FAIL
12,13,12,24,12,35,11,38,8,41,27,FAIL
12,15,10,25,12,31,9,42,9,40,37,FAIL
10,9,11,28,11,32,14,45,7,38,28,FAIL
8,15,9,15,9,48,4,35,8,38,24,FAIL
10,42,10,18,15,54,9,45,11,16,30,FAIL
7,6,9,45,10,38,12,42,6,18,23,FAIL
9,17,12,53,10,41,9,33,10,38,36,FAIL
9,0,8,0,5,0,4,0,7,0,34,FAIL
8,11,12,24,9,29,6,28,9,27,27,FAIL
10,15,3,35,6,24,9,25,13,27,29,FAIL
12,9,10,36,9,7,11,17,10,34,23,FAIL
9,24,10,38,8,14,10,31,9,15,30,FAIL
6,3,12,24,10,27,9,12,11,32,36,FAIL
10,17,11,44,12,37,9,40,11,40,24,FAIL
12,43,11,40,14,41,11,42,10,54,32,FAIL
10,26,11,35,11,26,12,24,9,18,19,FAIL
9,4,3,0,13,31,15,33,11,15,24,FAIL
11,11,12,19,9,24,12,26,10,28,29,FAIL
10,15,12,29,14,13,12,28,9,25,26,FAIL
5,0,8,0,12,10,9,12,11,36,18,FAIL
0,0,0,0,0,0,0,0,0,0,29,FAIL
10,0,22,0,12,10,0,17,0,0,0,FAIL
10,0,0,11,15,3,6,0,5,7,9,FAIL
19,0,20,10,24,42,19,28,22,29,76,FAIL
25,40,23,15,27,26,22,15,29,41,78,FAIL
22,34,24,15,19,45,22,32,28,26,85,FAIL
16,0,17,32,18,9,14,15,21,17,86,FAIL
18,12,23,31,17,11,15,25,15,36,76,FAIL
24,0,26,43,23,48,25,41,28,33,84,FAIL
19,3,24,28,13,38,18,28,18,27,81,FAIL
16,2,17,33,13,18,23,9,12,7,86,FAIL
27,29,27,44,27,39,25,44,25,40,85,PASS
