CNS_INTERNAL,CNS_EXTERNAL,UML_INTERNAL,UML_EXTERNAL,MC_INTERNAL,MC_EXTERNAL,STM_INTERNAL,STM_EXTERNAL,HBD_INTERNAL,HBD_EXTERNAL,ATTENDANCE,PASS/FAIL
10,17,9,37,7,24,12,38,9,34,25,FAIL
23,34,21,41,23,32,23,34,23,42,86,PASS
26,38,26,43,22,27,24,33,19,33,89,PASS
12,13,12,24,12,35,11,38,8,41,27,FAIL
27,29,21,40,27,49,21,37,21,48,70,PASS
12,15,10,25,12,31,9,42,9,40,37,FAIL
21,42,19,40,21,30,21,50,21,38,70,PASS
10,9,11,28,11,32,14,45,7,38,28,FAIL
8,15,9,15,9,48,4,35,8,38,24,FAIL
10,42,10,18,15,54,9,45,11,16,30,FAIL
7,6,9,45,10,38,12,42,6,18,23,FAIL
26,32,22,44,22,29,26,38,20,40,75,PASS
25,24,22,38,21,30,25,33,16,33,85,PASS
28,55,26,61,24,42,27,51,30,46,96,PASS
25,46,27,41,25,51,28,49,30,49,72,PASS
25,29,20,37,22,39,23,44,20,43,85,PASS
24,41,22,42,27,34,26,36,20,38,89,PASS
24,47,28,45,26,39,28,38,28,51,82,PASS
28,57,25,49,25,51,28,57,28,52,89,PASS
28,49,24,39,28,51,24,42,24,45,96,PASS
29,42,27,42,28,41,28,45,29,51,85,PASS
30,55,26,46,29,48,29,43,28,43,75,PASS
26,45,23,51,27,38,26,54,24,47,74,PASS
24,30,25,52,21,44,22,44,27,50,86,PASS
21,24,20,33,24,30,24,33,20,37,75,PASS
24,52,22,38,22,42,25,45,22,35,74,PASS
19,32,21,43,9,39,23,45,14,33,73,PASS
9,17,12,53,10,41,9,33,10,38,36,FAIL
24,47,25,47,26,45,29,44,29,35,72,PASS
30,54,26,53,25,44,24,52,26,45,83,PASS
27,53,27,52,29,43,25,48,26,49,74,PASS
25,29,15,31,23,37,24,44,13,45,82,PASS
28,47,24,60,27,44,24,44,27,52,85,PASS
9,0,8,0,5,0,4,0,7,0,34,FAIL
29,45,18,44,27,40,25,49,19,36,69,PASS
30,37,26,54,27,58,26,50,30,54,96,PASS
28,30,24,46,28,29,22,35,23,46,85,PASS
30,56,27,52,29,43,27,48,29,50,74,PASS
27,40,26,42,27,43,26,48,26,39,76,PASS
28,31,24,48,28,30,27,48,24,41,75,PASS
21,24,25,38,24,28,24,38,24,41,78,PASS
21,37,18,36,21,43,21,33,18,33,71,PASS
8,11,12,24,9,29,6,28,9,27,27,FAIL
10,15,3,35,6,24,9,25,13,27,29,FAIL
12,9,10,36,9,7,11,17,10,34,23,FAIL
9,24,10,38,8,14,10,31,9,15,30,FAIL
29,28,18,33,26,38,21,36,21,36,62,PASS
25,24,21,37,23,36,22,28,18,40,65,PASS
6,3,12,24,10,27,9,12,11,32,36,FAIL
16,16,22,28,24,25,22,18,20,34,85,FAIL
22,27,21,29,23,36,18,16,23,12,72,FAIL
18,8,24,15,23,17,19,24,25,6,30,FAIL
21,50,23,24,24,32,18,16,16,16,78,FAIL
22,41,24,9,24,44,19,32,26,32,70,FAIL
22,13,22,26,22,25,19,9,22,36,70,FAIL
24,11,22,27,24,36,22,3,26,28,69,FAIL
13,12,17,12,20,46,10,42,19,28,75,FAIL
28,0,28,43,24,37,23,24,28,38,85,FAIL
26,69,24,31,26,42,19,36,25,17,69,FAIL
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
27,30,23,33,24,40,21,45,18,40,71,PASS
10,17,11,44,12,37,9,40,11,40,24,FAIL
12,43,11,40,14,41,11,42,10,54,32,FAIL
19,40,19,43,19,34,21,42,15,33,70,PASS
21,34,22,34,16,30,19,39,18,27,79,PASS
22,29,21,44,22,35,23,35,16,44,70,PASS
21,24,20,32,17,26,19,36,13,41,82,PASS
10,26,11,35,11,26,12,24,9,18,19,FAIL
9,4,3,0,13,31,15,33,11,15,24,FAIL
25,24,16,38,15,29,19,27,17,40,65,PASS
24,29,24,40,22,30,19,25,13,42,48,PASS
19,49,22,42,24,33,20,39,17,38,89,PASS
11,11,12,19,9,24,12,26,10,28,29,FAIL
10,15,12,29,14,13,12,28,9,25,26,FAIL
16,29,20,30,20,27,18,35,16,38,81,PASS
20,50,13,53,15,40,18,44,18,42,90,PASS
25,40,19,44,18,40,19,47,20,42,90,PASS
5,0,8,0,12,10,9,12,11,36,18,FAIL
8,15,11,31,13,29,12,27,10,26,30,FAIL
10,15,12,25,8,10,12,25,11,25,36,FAIL
8,11,12,24,8,24,12,24,9,26,29,FAIL
6,11,11,30,3,15,10,25,7,37,25,FAIL
11,26,13,12,9,34,13,48,11,31,24,FAIL
3,10,4,12,8,32,12,28,9,28,36,FAIL
3,2,9,28,4,2,15,42,9,29,24,FAIL
9,18,5,11,9,17,11,40,7,14,33,FAIL
10,17,9,37,7,24,12,38,9,34,25,FAIL
12,13,12,24,12,35,11,38,8,41,27,FAIL
12,15,10,25,12,31,9,42,9,40,37,FAIL
10,9,11,28,11,32,14,45,7,38,28,FAIL
8,15,9,15,9,48,4,35,8,38,24,FAIL
10,42,10,18,15,54,9,45,11,16,30,FAIL
